Media,ag_cover,Site,Date,Weight,Sample ID,Alachlor,Anthraquinone,Atrazine,Bifenthrin,Biphenyl,Carfentrazone ethyl,Chlorobenzilate,cis-Captafol,Diazinon,Diphenylamine,DMF,Malathion,Metalaxyl,Metolachlor,o-Hydroxybiphenyl,Penconazole,Procymidone,Pyriproxyfen,Terbacil,Terbuthylazine,Tetrahydrophthalimide,Vinclozoline,Dinotefuran,Nitenpyram,Thiamethoxam,Clothianidin,Imidacloprid,Acetamiprid,Thiacloprid
IHH,high,HR,512,5.25,IH H 45,,,0.919,,0.095,,,,,0.009,2.037,0.005,,0.023,0.008,,,,,,2.529,,0.082,0.171,0.19,0.566,0.09,0.054,0.024
IHH,high,HR,520,5.16,IH H 52,,,0.207,,0.164,,,,,0.069,6.252,0.017,,0.023,0.008,,,,,,2.875,,0.082,0.171,0.312,0.373,0.109,0.027,0.034
FP,low,IB,429,1.9956,FP 5,0.012254902,0.013,0.2,,0.05,0.1,0.025,,0.012,0.075,0.676,,,0.012,0.013,0.05,0.025,0.025,0.389,0.063,2.155,,0.04,0.434,2.641,3.747,3.611,0.484,0.061
FP,low,IB,502,1.499,FP 15,0.03335557,0.013,0.025,,0.012,0.1,0.025,,0.012,0.067,1.901,,,0.012,0.033,0.013,0.025,0.025,0.389,0.063,2.769,,0.286,0.593,1.547,5.086,2.259,0.559,0.694
FP,low,IB,505,1.5,FP 25,0.133333333,0.013,0.4,,0.033,0.1,0.025,,0.4,0.2,4.067,,,0.012,0.067,0.013,0.025,0.025,0.389,0.063,5.233,,0.04,0.434,3.213,10.927,0.797,0.091,0.143
FP,low,IB,508,2,FP 35,0.012254902,0.013,0.025,,0.025,0.1,0.025,,0.012,0.075,0.6,,,0.075,0.013,0.013,0.025,0.025,0.389,0.063,0.149,,0.04,0.787,6.737,7.984,3.378,0.753,0.742
FP,low,IB,511,2.04,FP 45,0.012254902,0.025,0.539,,0.025,0.1,0.025,,0.098,0.441,0.956,,,0.098,0.013,0.013,0.025,0.025,0.389,0.063,1.005,,0.04,0.434,2.463,9.038,1.618,0.091,0.251
FP,low,IB,514,2,FP 55,0.012254902,0.013,0.15,,0.025,0.1,0.025,,0.012,0.05,0.575,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,0.675,,0.029,0.45,14.373,1.371,0.505,0.069,0.248
FP,low,IB,519,1.49,FP 65,0.012254902,0.013,0.268,,0.034,0.1,0.025,,0.101,0.034,0.302,,,0.034,0.013,0.013,0.025,0.025,0.389,0.063,0.973,,0.029,0.254,1.822,0.938,1.42,0.047,0.385
FP,low,IB,523,2.01,FP 75,0.012254902,0.013,0.025,,0.025,0.1,0.025,,0.012,0.075,0.05,,,0.012,0.013,0.013,0.025,0.025,0.389,0.063,3.905,,0.08,0.061,0.455,0.938,0.834,0.114,0.072
FP,low,IB,527,2,FP 85,0.012254902,0.013,0.025,,0.025,0.1,0.025,,0.012,0.05,0.725,,,0.012,0.025,0.013,0.025,0.025,0.389,0.063,2.725,,0.029,0.745,0.92,0.938,4,0.047,1.332
DBT,low,IB,429,1.3037,DBT 5,,0.154,0.104,0.138,1.074,0.586,0.9,0.937,,0.767,17.028,0.035,0.404,0.045,0.071,0.04,0.9,0.329,3.448,,10.202,0.397,0.161,0.228,1.844,221.644,0.067,0.55,0.185
